input,abbreviate_output,remove_output,abbreviate_changed,remove_changed
An Phú 7,An Phú 7,An Phú 7,false,false
An Phú 8,An Phú 8,An Phú 8,false,false
An Phú 9,An Phú 9,An Phú 9,false,false
An Phú Tây - Hưng Long,An Phú Tây - Hưng Long,An Phú Tây - Hưng Long,false,false
An Phú Đông 1,An Phú Đông 1,An Phú Đông 1,false,false
An Phú Đông 10,An Phú Đông 10,An Phú Đông 10,false,false
An Phú Đông 12,An Phú Đông 12,An Phú Đông 12,false,false
An Phú Đông 13,An Phú Đông 13,An Phú Đông 13,false,false
An Phú Đông 3,An Phú Đông 3,An Phú Đông 3,false,false
An Phú Đông 9,An Phú Đông 9,An Phú Đông 9,false,false
An Phúc,An Phúc,An Phúc,false,false
An Phước,An Phước,An Phước,false,false
An Phước - Phước Lăng,An Phước - Phước Lăng,An Phước - Phước Lăng,false,false
An Quới 1,An Quới 1,An Quới 1,false,false
An Quới 2,An Quới 2,An Quới 2,false,false
An Quới 3,An Quới 3,An Quới 3,false,false
An Quới 4,An Quới 4,An Quới 4,false,false
An Quới 5,An Quới 5,An Quới 5,false,false
An Sơn,An Sơn,An Sơn,false,false
An Sơn 20,An Sơn 20,An Sơn 20,false,false
An Sơn 22,An Sơn 22,An Sơn 22,false,false
An Sơn 23,An Sơn 23,An Sơn 23,false,false
An Sơn 25,An Sơn 25,An Sơn 25,false,false
An Thành,An Thành,An Thành,false,false
An Thành 1,An Thành 1,An Thành 1,false,false
An Thành 2,An Thành 2,An Thành 2,false,false
An Thường Công Chúa,An Thường Công Chúa,An Thường Công Chúa,false,false
An Thạnh 11,An Thạnh 11,An Thạnh 11,false,false
An Thạnh 13,An Thạnh 13,An Thạnh 13,false,false
An Thạnh 22,An Thạnh 22,An Thạnh 22,false,false
An Thạnh 25,An Thạnh 25,An Thạnh 25,false,false
An Thạnh 26,An Thạnh 26,An Thạnh 26,false,false
An Thạnh 28,An Thạnh 28,An Thạnh 28,false,false
An Thạnh 31,An Thạnh 31,An Thạnh 31,false,false
